Accession,Protein,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
WVS72231.1,capsid,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000256/2020,322,Nepal,Nepal,Homo sapiens,,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2020,2024-02-13,ssDNA
WVS72232.1,replication associated protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000256/2020,320,Nepal,Nepal,Homo sapiens,,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2020,2024-02-13,ssDNA
WVS72233.1,hypothetical protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000256/2020,227,Nepal,Nepal,Homo sapiens,,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2020,2024-02-13,ssDNA
WVS72234.1,capsid,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000359/2022,322,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72235.1,replication associated protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000359/2022,320,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72236.1,hypothetical protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000359/2022,233,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72237.1,capsid,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000468/2022,322,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72238.1,replication associated protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000468/2022,320,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72239.1,hypothetical protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000468/2022,229,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72240.1,capsid,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000490/2022,322,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72241.1,replication associated protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000490/2022,320,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72242.1,hypothetical protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000490/2022,229,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72243.1,capsid,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000545/2022,322,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72244.1,replication associated protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000545/2022,320,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72245.1,hypothetical protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000545/2022,227,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72246.1,capsid,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000395/2022,322,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72247.1,replication associated protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000395/2022,320,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72248.1,hypothetical protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000395/2022,227,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72249.1,capsid,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000546/2022,322,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72250.1,replication associated protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000546/2022,320,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVS72251.1,hypothetical protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000546/2022,227,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2022,2024-02-13,ssDNA
WVQ60830.1,capsid protein,Gemycircularvirus sp.,Gemycircularvirus sp.,Gemycircularvirus,Genomoviridae,,MmGmV_06,311,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60831.1,replication-associated protein,Gemycircularvirus sp.,Gemycircularvirus sp.,Gemycircularvirus,Genomoviridae,,MmGmV_06,228,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60832.1,replication-associated protein,Gemycircularvirus sp.,Gemycircularvirus sp.,Gemycircularvirus,Genomoviridae,,MmGmV_06,200,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60833.1,capsid protein,Gemykibivirus sp.,Gemykibivirus sp.,Gemykibivirus,Genomoviridae,,MmGmV_01,329,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60834.1,replication-associated protein,Gemykibivirus sp.,Gemykibivirus sp.,Gemykibivirus,Genomoviridae,,MmGmV_01,257,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60835.1,capsid protein,Gemykibivirus sp.,Gemykibivirus sp.,Gemykibivirus,Genomoviridae,,MmGmV_03,267,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60836.1,replication-associated protein,Gemykibivirus sp.,Gemykibivirus sp.,Gemykibivirus,Genomoviridae,,MmGmV_03,194,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60837.1,capsid protein,Gemykibivirus sp.,Gemykibivirus sp.,Gemykibivirus,Genomoviridae,,MmGmV_02,295,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60838.1,replication-associated protein,Gemykibivirus sp.,Gemykibivirus sp.,Gemykibivirus,Genomoviridae,,MmGmV_02,235,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60839.1,capsid protein,Gemycircularvirus sp.,Gemycircularvirus sp.,Gemycircularvirus,Genomoviridae,,MmGmV_07,310,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60840.1,putative V2 protein,Gemycircularvirus sp.,Gemycircularvirus sp.,Gemycircularvirus,Genomoviridae,,MmGmV_07,188,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60841.1,replication-associated protein,Gemycircularvirus sp.,Gemycircularvirus sp.,Gemycircularvirus,Genomoviridae,,MmGmV_07,215,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60842.1,capsid protein,Gemykibivirus sp.,Gemykibivirus sp.,Gemykibivirus,Genomoviridae,,MmGmV_09,130,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60843.1,replication-associated protein,Gemykibivirus sp.,Gemykibivirus sp.,Gemykibivirus,Genomoviridae,,MmGmV_09,94,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60844.1,replication-associated protein,Gemykibivirus sp.,Gemykibivirus sp.,Gemykibivirus,Genomoviridae,,MmGmV_09,248,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60845.1,replication-associated protein,Gemykibivirus sp.,Gemykibivirus sp.,Gemykibivirus,Genomoviridae,,MmGmV_05,266,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVQ60846.1,capsid protein,Gemykibivirus sp.,Gemykibivirus sp.,Gemykibivirus,Genomoviridae,,MmGmV_05,292,Brazil,Brazil,Chiroptera,,"Couto,R., Leal,E.",2021-07-23,2024-02-12,ssDNA
WVR22181.1,capsid protein,Malazfec virus 19,Malazfec virus 19,,Genomoviridae,,K14_1348,301,USA: Tempe,USA,Anas platyrhynchos,feces,"Khalifeh,A., Kale,S., Lund,M., Olivio,D., Kraberger,S., Varsani,A.",2021-01-12,2024-02-12,ssDNA
WVR22182.1,replication associated protein,Malazfec virus 19,Malazfec virus 19,,Genomoviridae,,K14_1348,320,USA: Tempe,USA,Anas platyrhynchos,feces,"Khalifeh,A., Kale,S., Lund,M., Olivio,D., Kraberger,S., Varsani,A.",2021-01-12,2024-02-12,ssDNA
WVR22183.1,capsid protein,Malazfec virus 20,Malazfec virus 20,,Genomoviridae,,K14_1356,304,USA: Tempe,USA,Anas platyrhynchos,feces,"Khalifeh,A., Kale,S., Lund,M., Olivio,D., Kraberger,S., Varsani,A.",2021-01-12,2024-02-12,ssDNA
WVR22184.1,replication associated protein,Malazfec virus 20,Malazfec virus 20,,Genomoviridae,,K14_1356,323,USA: Tempe,USA,Anas platyrhynchos,feces,"Khalifeh,A., Kale,S., Lund,M., Olivio,D., Kraberger,S., Varsani,A.",2021-01-12,2024-02-12,ssDNA
WVR22185.1,capsid protein,Malazfec virus 21,Malazfec virus 21,,Genomoviridae,,K14_1449,342,USA: Tempe,USA,Anas platyrhynchos,feces,"Khalifeh,A., Kale,S., Lund,M., Olivio,D., Kraberger,S., Varsani,A.",2021-01-12,2024-02-12,ssDNA
WVR22186.1,replication associated protein,Malazfec virus 21,Malazfec virus 21,,Genomoviridae,,K14_1449,308,USA: Tempe,USA,Anas platyrhynchos,feces,"Khalifeh,A., Kale,S., Lund,M., Olivio,D., Kraberger,S., Varsani,A.",2021-01-12,2024-02-12,ssDNA
WSP06230.1,replication associated protein,Botrytis cinerea ssDNA virus 1,Botrytis cinerea ssDNA virus 1,,Genomoviridae,,BCS11_TRINITY_DN160_c0_g1_i2,321,Spain,Spain,Botrytis cinerea,,"Ruiz-Padilla,A., Turina,M., Ayllon,M.A.",2018,2024-01-27,ssDNA
WSP06231.1,spliced replication associated protein,Botrytis cinerea ssDNA virus 1,Botrytis cinerea ssDNA virus 1,,Genomoviridae,,BCS11_TRINITY_DN160_c0_g1_i2,380,Spain,Spain,Botrytis cinerea,,"Ruiz-Padilla,A., Turina,M., Ayllon,M.A.",2018,2024-01-27,ssDNA
WSP06246.1,replication associated protein,Botrytis cinerea ssDNA virus 1,Botrytis cinerea ssDNA virus 1,,Genomoviridae,,Bc114A_RT_PCR,321,Spain,Spain,Botrytis cinerea,,"Ruiz-Padilla,A., Turina,M., Ayllon,M.A.",2018,2024-01-27,ssDNA
WSP06247.1,spliced replication associated protein,Botrytis cinerea ssDNA virus 1,Botrytis cinerea ssDNA virus 1,,Genomoviridae,,Bc114A_RT_PCR,380,Spain,Spain,Botrytis cinerea,,"Ruiz-Padilla,A., Turina,M., Ayllon,M.A.",2018,2024-01-27,ssDNA
WSP06263.1,coat protein,Botrytis cinerea ssDNA virus 1,Botrytis cinerea ssDNA virus 1,,Genomoviridae,,IBC1_Clone6,338,Italy,Italy,Botrytis cinerea,,"Ruiz-Padilla,A., Turina,M., Ayllon,M.A.",2018,2024-01-27,ssDNA
WSP06274.1,hypothetical protein,Botrytis cinerea ssDNA virus 1,Botrytis cinerea ssDNA virus 1,,Genomoviridae,,BCS12_TRINITY_DN29_c0_g1_i6,229,Spain,Spain,Botrytis cinerea,,"Ruiz-Padilla,A., Turina,M., Ayllon,M.A.",2018,2024-01-27,ssDNA
WSP06284.1,hypothetical protein,Botrytis cinerea ssDNA virus 1,Botrytis cinerea ssDNA virus 1,,Genomoviridae,,BCS12_TRINITY_DN29_c0_g1_i15,243,Spain,Spain,Botrytis cinerea,,"Ruiz-Padilla,A., Turina,M., Ayllon,M.A.",2018,2024-01-27,ssDNA
WSP06287.1,hypothetical protein,Botrytis cinerea ssDNA virus 1,Botrytis cinerea ssDNA virus 1,,Genomoviridae,,BCI1_Geneious,270,Italy,Italy,Botrytis cinerea,,"Ruiz-Padilla,A., Turina,M., Ayllon,M.A.",2018,2024-01-27,ssDNA
WSP06289.1,hypothetical protein,Botrytis cinerea ssDNA virus 1,Botrytis cinerea ssDNA virus 1,,Genomoviridae,,BCS8_Geneious1,243,Spain,Spain,Botrytis cinerea,,"Ruiz-Padilla,A., Turina,M., Ayllon,M.A.",2018,2024-01-27,ssDNA
WSP06292.1,hypothetical protein,Botrytis cinerea ssDNA virus 1,Botrytis cinerea ssDNA virus 1,,Genomoviridae,,BCS17_Geneious,270,Spain,Spain,Botrytis cinerea,,"Ruiz-Padilla,A., Turina,M., Ayllon,M.A.",2018,2024-01-27,ssDNA
WSP06295.1,hypothetical protein,Botrytis cinerea ssDNA virus 1,Botrytis cinerea ssDNA virus 1,,Genomoviridae,,IBC1_DNAD_Clone5,270,Italy,Italy,Botrytis cinerea,,"Ruiz-Padilla,A., Turina,M., Ayllon,M.A.",2018,2024-01-27,ssDNA
WPD49008.1,capsid protein,Grus nigricollis-associatied genomovirus,Grus nigricollis-associatied genomovirus,,Genomoviridae,,Gmcv-c1,309,China,China,Grus nigricollis,feces,"Zhao,Q., Zhao,R., Sun,Y., Ji,L., Xi,Y., Wang,X., Shen,Q., Wang,Y., You,Z., Yang,S., Zhang,W.",2020,2023-11-19,ssDNA
WPD49009.1,replication-associated protein,Grus nigricollis-associatied genomovirus,Grus nigricollis-associatied genomovirus,,Genomoviridae,,Gmcv-c1,269,China,China,Grus nigricollis,feces,"Zhao,Q., Zhao,R., Sun,Y., Ji,L., Xi,Y., Wang,X., Shen,Q., Wang,Y., You,Z., Yang,S., Zhang,W.",2020,2023-11-19,ssDNA
WPD49010.1,capsid protein,Grus nigricollis-associatied genomovirus,Grus nigricollis-associatied genomovirus,,Genomoviridae,,Gmcv-c2,309,China,China,Grus nigricollis,feces,"Zhao,Q., Zhao,R., Sun,Y., Ji,L., Xi,Y., Wang,X., Shen,Q., Wang,Y., You,Z., Yang,S., Zhang,W.",2020,2023-11-19,ssDNA
WPD49011.1,replication-associated protein,Grus nigricollis-associatied genomovirus,Grus nigricollis-associatied genomovirus,,Genomoviridae,,Gmcv-c2,261,China,China,Grus nigricollis,feces,"Zhao,Q., Zhao,R., Sun,Y., Ji,L., Xi,Y., Wang,X., Shen,Q., Wang,Y., You,Z., Yang,S., Zhang,W.",2020,2023-11-19,ssDNA
WPD49012.1,capsid protein,Grus nigricollis-associatied genomovirus,Grus nigricollis-associatied genomovirus,,Genomoviridae,,Gmcv-c6,314,China,China,Grus nigricollis,feces,"Zhao,Q., Zhao,R., Sun,Y., Ji,L., Xi,Y., Wang,X., Shen,Q., Wang,Y., You,Z., Yang,S., Zhang,W.",2020,2023-11-19,ssDNA
WPD49013.1,replication-associated protein,Grus nigricollis-associatied genomovirus,Grus nigricollis-associatied genomovirus,,Genomoviridae,,Gmcv-c6,304,China,China,Grus nigricollis,feces,"Zhao,Q., Zhao,R., Sun,Y., Ji,L., Xi,Y., Wang,X., Shen,Q., Wang,Y., You,Z., Yang,S., Zhang,W.",2020,2023-11-19,ssDNA
WPD49014.1,capsid protein,Grus nigricollis-associatied genomovirus,Grus nigricollis-associatied genomovirus,,Genomoviridae,,Gmkv-c5,285,China,China,Grus nigricollis,feces,"Zhao,Q., Zhao,R., Sun,Y., Ji,L., Xi,Y., Wang,X., Shen,Q., Wang,Y., You,Z., Yang,S., Zhang,W.",2020,2023-11-19,ssDNA
WPD49015.1,replication-associated protein,Grus nigricollis-associatied genomovirus,Grus nigricollis-associatied genomovirus,,Genomoviridae,,Gmkv-c5,239,China,China,Grus nigricollis,feces,"Zhao,Q., Zhao,R., Sun,Y., Ji,L., Xi,Y., Wang,X., Shen,Q., Wang,Y., You,Z., Yang,S., Zhang,W.",2020,2023-11-19,ssDNA
WKV35391.1,hypothetical protein,Botrytis cinerea ssDNA virus 1,Botrytis cinerea ssDNA virus 1,,Genomoviridae,,BCS10_Geneious,270,Spain,Spain,Botrytis cinerea,,"Ruiz-Padilla,A., Turina,M., Ayllon,M.A.",2018,2023-07-30,ssDNA
WGZ60550.1,capsid protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,,322,Cameroon: Yaounde,Cameroon,Homo sapiens,blood,"Orf,G.S., Olivo,A., Harris,B., Weiss,S.L., Achari,A., Yu,G., Federman,S., Mbanya,D., James,L., Mampunza,S., Chiu,C.Y., Rodgers,M.A., Cloherty,G.A., Berg,M.G.",2017-11,2023-05-15,ssDNA
WGZ60551.1,DNA replication protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,,320,Cameroon: Yaounde,Cameroon,Homo sapiens,blood,"Orf,G.S., Olivo,A., Harris,B., Weiss,S.L., Achari,A., Yu,G., Federman,S., Mbanya,D., James,L., Mampunza,S., Chiu,C.Y., Rodgers,M.A., Cloherty,G.A., Berg,M.G.",2017-11,2023-05-15,ssDNA
WGZ60554.1,capsid protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,,322,Cameroon: Yaounde,Cameroon,Homo sapiens,blood,"Orf,G.S., Olivo,A., Harris,B., Weiss,S.L., Achari,A., Yu,G., Federman,S., Mbanya,D., James,L., Mampunza,S., Chiu,C.Y., Rodgers,M.A., Cloherty,G.A., Berg,M.G.",2017-12,2023-05-15,ssDNA
WGZ60555.1,DNA replication protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,,320,Cameroon: Yaounde,Cameroon,Homo sapiens,blood,"Orf,G.S., Olivo,A., Harris,B., Weiss,S.L., Achari,A., Yu,G., Federman,S., Mbanya,D., James,L., Mampunza,S., Chiu,C.Y., Rodgers,M.A., Cloherty,G.A., Berg,M.G.",2017-12,2023-05-15,ssDNA
UZS00438.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,,314,,,Mus,,"He,Y., Yang,S.",2019,2022-11-26,ssDNA
UZS00439.1,replication,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,,217,,,Mus,,"He,Y., Yang,S.",2019,2022-11-26,ssDNA
UYL88393.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,UC145V1_C621,294,South Africa,South Africa,Homo sapiens,,"Jimoh,A., Balle,C., Brown,B., Feng,C., Havyarimana,E., Konstantinus,I.N., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Happel,A.-U., Jaspan,H.B., Varsani,A.",2017-03-22,2022-10-26,ssDNA
UYL88394.1,replication associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,UC145V1_C621,330,South Africa,South Africa,Homo sapiens,,"Jimoh,A., Balle,C., Brown,B., Feng,C., Havyarimana,E., Konstantinus,I.N., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Happel,A.-U., Jaspan,H.B., Varsani,A.",2017-03-22,2022-10-26,ssDNA
UYD39071.1,capsid protein,Wigfec virus K19_469,Wigfec virus K19_469,Gemyduguivirus,Genomoviridae,,K19_469,278,USA: Arizona,USA,Mareca americana,feces,"Olivio,D., Khalifeh,A., Kraberger,S., Varsani,A.",2021-01-13,2022-10-18,ssDNA
UYD39072.1,replication associated protein,Wigfec virus K19_469,Wigfec virus K19_469,Gemyduguivirus,Genomoviridae,,K19_469,319,USA: Arizona,USA,Mareca americana,feces,"Olivio,D., Khalifeh,A., Kraberger,S., Varsani,A.",2021-01-13,2022-10-18,ssDNA
UYD39073.1,capsid protein,Wigfec virus K19_467,Wigfec virus K19_467,Gemytondvirus,Genomoviridae,,K19_467,266,USA: Arizona,USA,Mareca americana,feces,"Olivio,D., Khalifeh,A., Kraberger,S., Varsani,A.",2021-01-13,2022-10-18,ssDNA
UYD39074.1,replication associated protein,Wigfec virus K19_467,Wigfec virus K19_467,Gemytondvirus,Genomoviridae,,K19_467,309,USA: Arizona,USA,Mareca americana,feces,"Olivio,D., Khalifeh,A., Kraberger,S., Varsani,A.",2021-01-13,2022-10-18,ssDNA
